"url","newCLS","newCLSVerdict","oldCLS","oldCLSVerdict","CLSentries","FID","FIDVerdict","LCP","LCPVerdict","LCPElement","video"
"https://tamethebots.com",0,"good - none measured",0,"good - none measured","[]","3.2350 Ms","good","3.51 s","needs improvement","P","videos/httpstamethebots.com_2021-04-16_07_22_40.webm"
"https://www.amazon.co.uk/",0,"good - none measured",0,"good - none measured","[]","65.8550 Ms","good","1.48 s","good","IMG","videos/httpswww.amazon.co.uk_2021-04-16_07_23_52.webm"
